province_iso,province,district_osm_id,district,district_en,district_area_km2,valid_polygon_count,review_required_not_counted,class_park,class_marketplace,class_garden,class_historic,class_attraction,class_pitch,size_small,size_medium,size_large,preset_largePark,preset_market,preset_pocketPark,valid_total_area_m2,population,population_cells,population_resolution,dungeons_per_100k,distance_method,walk_avg_m,walk_median_m,g1_pop_share_green,pop_share_yellow,g4_pop_share_red,pop_share_red_snap,s1_pop_share_green_yellow,g2_valid_count_incl_multi,g3_preset_count_incl_multi,transit_mean_m,rail_walk_mean_m,bus_walk_mean_m,dungeons_with_rail_in_reach,density_per_km2,population_density_per_km2,score_density,score_walk,score_transit,score_preset,score_population,launch_score,launch_rank
TH-10,กรุงเทพมหานคร,92053,เขตพระนคร,Phra Nakhon District,5.380,20,1,11,4,4,1,0,0,10,9,1,6,4,10,347815.4,35767,601,"WorldPop R2025A constrained, 3 arc-second grid (about 100 m), same resolution in all 79 districts",55.918,osm_walk_network,550,516,0.8173,0.1827,0.0000,0.0000,1.0000,20,3,416,663,281,15,3.7174,6647.9,1.0000,1.0000,0.9841,1.0000,0.2782,0.8886,1
TH-10,กรุงเทพมหานคร,92056,เขตสัมพันธวงศ์,Samphanthawong District,1.428,1,0,0,1,0,0,0,0,0,1,0,0,1,0,18073.5,8703,153,"WorldPop R2025A constrained, 3 arc-second grid (about 100 m), same resolution in all 79 districts",11.490,osm_walk_network,770,805,0.4836,0.5164,0.0000,0.0000,1.0000,2,1,383,493,162,2,1.4010,6096.5,0.3766,0.9801,0.9863,0.3333,0.2546,0.6246,27
TH-10,กรุงเทพมหานคร,92058,เขตป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai District,2.524,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21133,300,"WorldPop R2025A constrained, 3 arc-second grid (about 100 m), same resolution in all 79 districts",0.000,osm_walk_network,1019,1052,0.2607,0.7393,0.0000,0.0000,1.0000,0,0,,,,0,0.0000,8372.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77
TH-10,กรุงเทพมหานคร,92061,เขตบางรัก,Bang Rak District,3.938,6,1,1,1,3,0,1,0,5,1,0,0,1,5,32514.2,47577,464,"WorldPop R2025A constrained, 3 arc-second grid (about 100 m), same resolution in all 79 districts",12.611,osm_walk_network,640,646,0.7430,0.2570,0.0000,0.0000,1.0000,6,2,352,659,306,4,1.5236,12081.4,0.4096,0.9919,0.9883,0.6667,0.5111,0.7247,10
TH-10,กรุงเทพมหานคร,92063,เขตปทุมวัน,Pathum Wan District,8.161,22,0,5,1,9,1,0,6,10,12,0,11,1,10,329854.4,55108,974,"WorldPop R2025A constrained, 3 arc-second grid (about 100 m), same resolution in all 79 districts",39.922,osm_walk_network,655,640,0.7203,0.2791,0.0006,0.0006,0.9994,23,3,461,756,380,13,2.8184,6752.9,0.7581,0.9906,0.9811,1.0000,0.2827,0.8258,2
TH-10,กรุงเทพมหานคร,92064,เขตราชเทวี,Ratchathewi District,7.188,5,0,4,0,1,0,0,0,2,3,0,3,0,2,91943.1,90198,868,"WorldPop R2025A constrained, 3 arc-second grid (about 100 m), same resolution in all 79 districts",5.543,osm_walk_network,933,899,0.3839,0.6117,0.0045,0.0045,0.9955,5,2,530,859,403,3,0.6956,12548.6,0.1867,0.9654,0.9765,0.6667,0.5311,0.6630,18
TH-10,กรุงเทพมหานคร,92068,เขตพญาไท,Phaya Thai District,9.246,5,0,2,2,0,0,0,1,4,1,0,1,2,2,45281.9,146315,1106,"WorldPop R2025A constrained, 3 arc-second grid (about 100 m), same resolution in all 79 districts",3.417,osm_walk_network,1134,1094,0.2973,0.6819,0.0208,0.0208,0.9792,5,3,381,1232,381,0,0.5408,15824.2,0.1450,0.9473,0.9864,1.0000,0.6715,0.7211,11
TH-10,กรุงเทพมหานคร,92069,เขตดุสิต,Dusit District,11.289,11,5,1,3,7,0,0,0,9,2,0,1,3,7,95830.6,65440,1301,"WorldPop R2025A constrained, 3 arc-second grid (about 100 m), same resolution in all 79 districts",16.809,osm_walk_network,958,943,0.3706,0.5801,0.0493,0.0493,0.9507,11,3,475,779,294,9,0.9744,5796.6,0.2618,0.9632,0.9801,1.0000,0.2418,0.6885,15
TH-10,กรุงเทพมหานคร,1639285,เขตบางซื่อ,Bang Sue District,12.944,3,0,1,0,2,0,0,0,0,3,0,3,0,0,61747.3,116013,1526,"WorldPop R2025A constrained, 3 arc-second grid (about 100 m), same resolution in all 79 districts",2.586,osm_walk_network,1564,1570,0.1551,0.8219,0.0230,0.0028,0.9770,3,1,177,1850,177,0,0.2318,8962.9,0.0619,0.9085,1.0000,0.3333,0.3774,0.5492,50
TH-10,กรุงเทพมหานคร,1639286,เขตจตุจักร,Chatuchak District,32.561,24,0,12,5,4,0,1,2,11,11,2,8,5,11,494794.1,518861,3911,"WorldPop R2025A constrained, 3 arc-second grid (about 100 m), same resolution in all 79 districts",4.626,osm_walk_network,1274,1241,0.2206,0.7604,0.0191,0.0107,0.9809,24,3,626,1325,560,9,0.7371,15934.9,0.1979,0.9347,0.9701,1.0000,0.6762,0.7286,9
